Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City
Apartment,3300000,3,3,160.0,No,2,Galleria,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1250000,2,1,71.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1800000,3,3,150.0,No,3,Castle Landmark,Cash or Installment,2025,Finished,New Capital City
Apartment,415000,3,3,172.0,No,1,Hyde Park New Cairo,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1740000,3,2,174.0,No,1,2020 Compound,Installment,2025,Semi Finished,Hadayek 6th of October
Apartment,270000,3,2,115.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Zamalek
Studio,964000,1,1,70.0,No,3,Sarai,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2158000,2,3,143.0,No,2,Sarai,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Studio,1900000,1,2,75.0,No,2,Village West,Installment,2024,Finished,Sheikh Zayed
Apartment,1000000,3,3,140.0,No,4,Dar Misr,Cash or Installment,2024,Finished,Obour City
Apartment,850000,3,3,207.0,No,3,Cairo Festival City,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,3656175,2,2,165.0,No,3,Not in Compound,Installment,2025,Finished,Moharam Bik
Duplex,515000,3,2,230.0,No,1,Trio Gardens,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,2150000,3,1,104.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,130000,3,2,144.0,No,2,Al Maqsad,Installment,2024,Finished,New Capital City
Apartment,4600000,3,3,207.0,No,5,Hyde Park New Cairo,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2700000,3,3,185.0,No,1,Mountain View iCity,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Penthouse,3500000,2,2,167.0,No,4,Mountain View Executive,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,2470000,2,2,108.0,No,2,Joulz,Installment,2024,Semi Finished,6th of October
Apartment,1910000,3,3,181.0,No,3,Celia,Installment,2024,Finished,New Capital City
Apartment,1630000,3,2,163.0,No,1,2020 Compound,Installment,2025,Semi Finished,Hadayek 6th of October
Apartment,4500000,3,3,243.0,Yes,2,Rehab City,Cash,2024,Finished,Rehab City
Apartment,390000,3,2,170.0,No,2,Mountain View iCity,Cash or Installment,2025,Not Finished,Rehab City
Apartment,4350000,3,2,149.0,No,2,Karmell,Cash or Installment,2025,Semi Finished,Sheikh Zayed
Apartment,1750000,4,4,218.0,No,3,Dreamland,Cash,2024,Not Finished,Haram
Duplex,6500000,2,4,275.0,No,2,Sodic Westown,Cash,2024,Semi Finished,Sheikh Zayed
Apartment,312000,3,2,164.0,No,1,Sarai,Cash or Installment,2025,Not Finished,Nasr City
Apartment,1520000,3,2,152.0,No,1,2020 Compound,Installment,2025,Semi Finished,Hadayek 6th of October
Apartment,2800000,3,3,162.0,No,5,Rehab City,Cash,2025,Finished,Rehab City
Penthouse,13000000,3,3,400.0,Yes,1,Beverly Hills,Cash or Installment,2024,Finished,Sheikh Zayed
Duplex,4500000,3,3,250.0,No,1,Mountain View iCity,Cash or Installment,2025,Semi Finished,6th of October
Apartment,1700000,3,2,108.0,No,2,Rehab City,Cash or Installment,2025,Finished,Rehab City
Apartment,275000,2,1,127.0,No,1,Sarai,Cash or Installment,2025,Not Finished,Shorouk City
Apartment,1185000,2,1,71.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1654965,3,3,207.0,No,1,High City,Cash or Installment,2024,Semi Finished,Obour City
Duplex,2600000,3,3,185.0,No,1,Rayos,Cash,2024,Not Finished,6th of October
Penthouse,2550000,4,4,220.0,No,3,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,4190456,2,3,147.0,No,1,O West,Installment,2023,Finished,6th of October
Apartment,1269624,3,3,147.0,No,3,IL Bosco,Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,2600000,3,3,175.0,No,3,Scenario,Installment,2023,Semi Finished,New Capital City
Apartment,2200000,3,3,165.0,No,3,Sarai,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Penthouse,2100000,3,3,336.0,No,5,Rock Eden,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,4400000,3,3,167.0,No,1,EL Patio ORO,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,4530000,3,3,172.0,No,1,O West,Installment,2023,Finished,6th of October
Apartment,1250000,3,2,130.0,No,4,Dar Misr,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,2550000,3,3,240.0,No,3,Diplomats,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,340000,3,2,155.0,No,2,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheraton
Apartment,500000,3,2,130.0,No,3,Dar Misr,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,3100000,2,2,127.0,No,1,Al Burouj,Cash or Installment,2026,Finished,Shorouk City
Apartment,375000,1,1,55.0,No,4,Degla Landmark,Cash,2022,Semi Finished,Nasr City
Apartment,5400000,3,3,210.0,No,2,Al Burouj,Cash or Installment,2026,Finished,Shorouk City
Duplex,3350000,3,2,316.0,No,1,Mountain View - October Park,Cash,2024,Not Finished,6th of October
Apartment,1764700,2,1,135.0,No,2,Nest Cairo,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,350000,3,2,160.0,No,3,Mountain View iCity,Cash or Installment,2025,Not Finished,Obour City
Apartment,3207000,2,3,131.0,No,1,Badya Palm Hills,Installment,2025,Finished,6th of October
Apartment,3900000,2,2,117.0,No,2,Cairo Gate,Installment,2025,Finished,Sheikh Zayed
Apartment,3500000,3,3,171.0,No,2,Rehab City,Cash,2024,Finished,Rehab City
Apartment,2550000,3,3,130.0,No,1,Kayan,Cash or Installment,2025,Finished,6th of October
Apartment,1900000,3,3,165.0,No,5,Madinaty,Installment,2024,Finished,Madinaty
Apartment,3566826,2,3,140.0,No,1,O West,Installment,2023,Finished,6th of October
Apartment,1940000,2,2,130.0,No,3,Sarai,Cash or Installment,2025,Semi Finished,Shorouk City
Apartment,5800000,3,3,225.0,No,2,Village West,Cash or Installment,2025,Finished,Sheikh Zayed
Apartment,1647500,4,3,190.0,No,3,Beit Al Watan,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,337000,3,3,215.0,No,1,Trio Gardens,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,4000000,3,3,170.0,No,1,Village West,Cash or Installment,2025,Finished,Sheikh Zayed
Apartment,1650000,2,1,107.0,No,2,Madinaty,Cash or Installment,2024,Finished,Madinaty
Studio,1250000,1,1,60.0,Yes,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1950000,3,3,220.0,No,3,Not in Compound,Cash,2024,Finished,6th of October
Apartment,5200000,4,4,203.0,No,3,Village West,Cash or Installment,2025,Finished,Sheikh Zayed
Duplex,2000000,3,3,260.0,No,1,Not in Compound,Cash,2024,Finished,New Cairo - El Tagamoa
Duplex,4180000,2,2,145.0,No,4,Trio Gardens,Installment,2023,Finished,New Cairo - El Tagamoa
Apartment,1900000,3,2,115.0,No,3,Rehab City,Cash,2024,Finished,Rehab City
Apartment,1950000,3,2,140.0,No,3,Not in Compound,Cash,2024,Finished,Sidi Gaber
Apartment,1610000,4,3,204.0,No,1,Beit Al Watan,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Penthouse,3100000,3,3,185.0,No,3,EL Patio Casa,Cash,2024,Semi Finished,Shorouk City
Duplex,5600000,4,3,278.0,No,1,Mountain View Hyde Park,Cash,2024,Finished,New Cairo - El Tagamoa
Penthouse,6800000,3,4,290.0,No,12,Eastown,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,760000,3,2,130.0,No,3,Dar Misr,Cash or Installment,2025,Finished,New Cairo - El Tagamoa
Apartment,1143350,3,3,153.0,No,2,Beit Al Watan,Cash or Installment,2023,Semi Finished,New Cairo - El Tagamoa
Apartment,3351500,3,3,177.0,No,2,AZAD,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1334000,3,2,130.0,No,3,Yaru,Cash or Installment,2025,Semi Finished,New Capital City
Apartment,340000,3,2,149.0,No,2,Taj City,Cash or Installment,2025,Not Finished,New Nozha
Apartment,3500000,3,2,155.0,No,4,Mountain View iCity,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1050000,3,2,130.0,No,3,Dar Misr,Cash,2024,Finished,Obour City
Apartment,1650000,3,2,108.0,No,3,Rehab City,Cash,2024,Semi Finished,Rehab City
Apartment,3780000,3,2,135.0,No,6,ZED Towers,Cash or Installment,2023,Finished,Sheikh Zayed
Apartment,3200000,3,3,165.0,No,2,Mountain View iCity,Installment,2025,Semi Finished,6th of October
Apartment,1500000,2,2,110.0,No,3,The Icon Residence,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2459711,3,2,164.0,No,5,Sarai,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1860000,2,2,116.0,No,3,The Brooks,Installment,2026,Not Finished,New Cairo - El Tagamoa
Apartment,1650000,2,2,96.0,No,2,Madinaty,Cash,2024,Finished,Madinaty
Duplex,4500000,4,4,212.0,No,2,Mountain View - Giza Plateau,Cash,2024,Finished,Sheikh Zayed
Apartment,3650000,2,2,151.0,No,2,Eastown,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3250000,2,2,132.0,No,2,Eastown,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2300000,3,3,165.0,No,2,EL Patio Casa,Cash or Installment,2024,Not Finished,Shorouk City
Apartment,3300000,3,2,145.0,No,1,Madinaty,Cash,2024,Finished,Heliopolis
Apartment,346000,2,2,110.0,No,2,Mountain View iCity,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,5500000,4,4,266.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2500000,3,2,124.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,290000,3,3,165.0,No,2,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3500000,3,3,211.0,No,2,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2200000,3,2,120.0,No,1,Celia,Cash or Installment,2024,Finished,North Coast
Apartment,180000,2,2,120.0,No,3,The Brooks,Cash or Installment,2025,Finished,New Cairo - El Tagamoa
Apartment,180000,3,1,90.0,No,3,Not in Compound,Cash,2024,Finished,Badr City
Apartment,3025000,3,3,165.0,No,1,EL Patio Casa,Cash or Installment,2024,Not Finished,Shorouk City
Apartment,2308468,3,3,153.0,No,1,Granda,Installment,2025,Semi Finished,Shorouk City
Duplex,4300000,3,3,210.0,No,3,Atika,Cash or Installment,2025,Finished,New Capital City
Apartment,3800000,3,2,177.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1570000,2,2,108.0,No,2,Sun Capital,Cash or Installment,2024,Semi Finished,6th of October
Apartment,1300000,3,2,130.0,No,5,Dar Misr,Cash,2024,Finished,Rehab City
Apartment,2600000,3,3,135.0,No,1,Hyde Park New Cairo,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Duplex,3318728,3,3,190.0,No,5,Mountain View iCity,Cash or Installment,2026,Not Finished,6th of October
Duplex,4583000,5,5,403.0,No,3,De Joya,Cash or Installment,2025,Semi Finished,New Capital City
Apartment,1500000,2,1,92.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1200000,3,2,165.0,No,1,Lakefront,Cash,2024,Finished,Hadayek 6th of October
Apartment,1425000,2,1,78.0,No,4,Madinaty,Installment,2024,Finished,Madinaty
Duplex,6800000,5,4,234.0,No,2,Hyde Park New Cairo,Cash,2024,Not Finished,New Cairo - El Tagamoa
Apartment,3850000,3,2,153.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3900000,3,3,186.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3171642,3,3,165.0,No,3,Mountain View iCity,Cash or Installment,2026,Not Finished,6th of October
Apartment,1350000,2,2,118.0,No,9,Arena City Towers,Cash,2024,Not Finished,New Beni Suef
Apartment,5240000,3,3,200.0,No,2,Stone Residence,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,450000,3,1,98.0,No,2,Not in Compound,Installment,2026,Finished,New Capital City
Apartment,5366000,4,4,263.0,No,3,October Plaza Sodic,Cash or Installment,2024,Not Finished,6th of October
Apartment,2250000,3,2,153.0,No,3,Scenario,Installment,2024,Not Finished,New Capital City
Apartment,1718874,3,2,169.0,No,5,Madinaty,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1844900,4,3,222.0,No,3,Beit Al Watan,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1950000,2,2,96.0,No,2,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2150144,2,1,128.0,No,1,Tag Sultan,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2500000,3,3,155.0,Yes,2,Rehab City,Cash,2024,Finished,Rehab City
Apartment,550000,3,2,165.0,No,6,Not in Compound,Cash,2024,Finished,Nasr City
Apartment,1000000,3,3,150.0,No,1,Dar Misr,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,550000,3,2,130.0,No,2,Dar Misr,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,610000,3,3,140.0,No,3,Dar Misr,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,1170000,2,2,130.0,No,3,Midtown Condo,Cash or Installment,2024,Not Finished,New Capital City
Apartment,450000,3,2,130.0,No,2,Dar Misr,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,350000,3,2,115.0,No,1,Dar Misr,Cash,2025,Finished,New Cairo - El Tagamoa
Apartment,610000,3,3,150.0,No,1,Dar Misr,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,2450000,3,2,164.0,No,3,Blue Vert,Installment,2024,Not Finished,New Capital City
Apartment,2600000,3,3,179.0,No,3,Sarai,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2150000,3,2,119.0,No,2,Capital Heights 2,Installment,2024,Finished,New Capital City
Apartment,2390000,3,3,158.0,No,3,Castle Landmark,Installment,2024,Not Finished,New Capital City
Apartment,1750000,2,1,92.0,No,1,Rehab City,Cash,2025,Finished,Rehab City
Apartment,2500000,3,3,155.0,No,1,Rehab City,Cash,2025,Finished,Rehab City
Apartment,3000000,3,3,149.0,No,1,Rehab City,Cash,2025,Finished,Rehab City
Apartment,1200000,3,2,220.0,No,4,Not in Compound,Cash,2024,Finished,6th of October
Apartment,1900000,2,1,107.0,No,1,Rehab City,Cash,2025,Finished,Rehab City
Apartment,320000,3,3,142.0,No,2,Taj City,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,310000,2,2,120.0,No,2,Creek Town,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Duplex,4355000,6,4,370.0,No,6,Botanica,Installment,2026,Semi Finished,New Capital City
Apartment,4061000,2,2,157.0,No,2,October Plaza Sodic,Installment,2024,Finished,6th of October
Apartment,1560000,3,2,113.0,No,3,Ashgar City,Installment,2024,Finished,Hadayek 6th of October
Apartment,2949700,3,2,170.0,No,3,Nest Cairo,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2681833,3,2,139.0,No,3,Tag Sultan,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,791244,3,2,95.5,No,2,The Key,Installment,2024,Semi Finished,Mokattam
Apartment,6300000,2,2,133.0,No,3,Swan Lake,Cash or Installment,2025,Finished,New Cairo - El Tagamoa
Apartment,1555000,3,2,185.0,No,1,Not in Compound,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1700000,4,2,198.0,No,3,Not in Compound,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3800000,3,2,150.0,No,3,Al Burouj,Cash or Installment,2025,Finished,Shorouk City
Apartment,1100000,3,2,170.0,No,2,Hadaba,Cash or Installment,2024,Finished,Hadayek al-Ahram
Duplex,4000000,3,3,460.0,No,1,Diplomats,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1600000,2,1,90.0,No,1,Kayan,Cash or Installment,2025,Semi Finished,6th of October
Apartment,3520000,3,2,160.0,No,2,EL Patio Casa,Cash or Installment,2024,Semi Finished,Shorouk City
Penthouse,3404700,4,3,252.0,No,12,Nest Cairo,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1970000,3,2,120.0,No,1,Kayan,Cash or Installment,2025,Semi Finished,6th of October
Apartment,180000,2,2,120.0,No,2,The Brooks,Cash or Installment,2025,Finished,New Cairo - El Tagamoa
Apartment,3700000,3,3,161.0,No,2,Galleria Moon Valley,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,4800000,3,3,210.0,No,2,Eastown,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3250000,2,2,128.0,No,2,Stone Residence,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1800000,3,3,145.0,No,6,Scene 7,Cash,2024,Semi Finished,New Capital City
Apartment,3600000,3,3,175.0,No,3,Hyde Park New Cairo,Installment,2023,Not Finished,New Cairo - El Tagamoa
Apartment,1850000,2,2,132.0,No,3,Zizinia El Mostakbal,Cash or Installment,2022,Semi Finished,Mostakbal City
Studio,960000,1,1,60.0,No,2,Sarai,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3800000,3,3,260.0,No,1,Beverly Hills,Cash,2024,Finished,Sheikh Zayed
Apartment,3000000,3,3,174.0,No,3,Badya Palm Hills,Installment,2023,Semi Finished,6th of October
Duplex,3571000,4,3,238.0,No,1,Tag Sultan,Cash or Installment,2023,Not Finished,New Cairo - El Tagamoa
Apartment,1800000,2,1,99.0,No,5,Rehab City,Cash,2024,Finished,Rehab City
Duplex,4348348,3,3,200.0,No,4,Trio Gardens,Cash or Installment,2023,Finished,New Cairo - El Tagamoa
Apartment,2000000,3,2,125.0,No,1,Mountain View iCity,Cash,2024,Semi Finished,6th of October
Apartment,1850000,2,2,132.0,No,2,Zizinia El Mostakbal,Cash or Installment,2022,Not Finished,Mostakbal City
Apartment,1350000,3,1,135.0,No,9,Not in Compound,Cash,2024,Finished,Miami
Duplex,1645000,5,3,265.0,No,1,Beit Al Watan,Cash or Installment,2024,Semi Finished,6th of October
Apartment,4575000,2,3,141.0,No,1,Village West,Cash or Installment,2024,Finished,Sheikh Zayed
Apartment,150000,3,2,190.0,No,1,Vinci,Cash or Installment,2025,Semi Finished,New Capital City
Duplex,4700000,3,3,210.0,No,1,Mountain View iCity,Installment,2026,Semi Finished,Sheikh Zayed
Apartment,758000,3,2,143.0,No,1,El Khamayel,Installment,2023,Not Finished,Sheikh Zayed
Apartment,4591000,2,2,157.0,No,4,October Plaza Sodic,Cash or Installment,2024,Finished,6th of October
Apartment,4900000,3,3,190.0,No,4,Eastown,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,4500000,3,2,185.0,Yes,1,VGK,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,360000,3,2,148.0,No,2,Madinaty,Cash or Installment,2024,Not Finished,Madinaty
Apartment,98000,3,2,144.0,No,3,Al Maqsad,Cash or Installment,2024,Finished,New Capital City
Apartment,582000,3,2,172.0,No,1,El Khamayel,Installment,2023,Not Finished,Sheikh Zayed
Apartment,4500000,3,3,207.0,No,3,Hyde Park New Cairo,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,631000,3,2,168.0,No,1,El Khamayel,Installment,2023,Finished,Sheikh Zayed
Apartment,2500000,3,3,148.0,No,3,Sun Capital,Cash or Installment,2024,Semi Finished,6th of October
Apartment,2700000,3,3,175.0,No,1,Continental Gardens,Cash or Installment,2024,Finished,Sheikh Zayed
Apartment,683000,3,2,161.0,No,1,El Khamayel,Installment,2023,Not Finished,Sheikh Zayed
Duplex,5390000,4,4,260.0,No,1,Mountain View iCity,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1260000,3,3,180.0,No,1,Beit Al Watan,Cash or Installment,2025,Semi Finished,6th of October
Apartment,4800000,3,3,223.0,No,1,New Giza,Cash,2024,Semi Finished,Sheikh Zayed
Apartment,3427000,3,2,175.0,No,2,Stone Residence,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1914000,2,1,90.0,No,1,Kayan,Cash or Installment,2025,Finished,6th of October
Apartment,1650000,3,3,199.0,No,1,Mivida,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,9500000,3,3,185.0,No,2,Mivida,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,832000,3,2,174.0,No,3,El Khamayel,Installment,2023,Not Finished,Sheikh Zayed
Apartment,2538000,3,2,165.0,No,3,Kattameya Gardens,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,5500000,3,3,186.0,No,3,Mivida,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,5500000,3,3,200.0,No,1,Mivida,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,5800000,3,3,289.0,No,2,Mivida,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,3150000,3,3,165.0,No,2,EL Patio Casa,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,586000,2,2,140.0,No,2,Stone Residence,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2420000,2,2,128.0,No,1,Stone Residence,Installment,2024,Finished,New Cairo - El Tagamoa
Duplex,5200000,4,4,200.0,No,1,Hyde Park New Cairo,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,6049000,2,3,148.0,No,2,Mivida,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,6286000,2,2,148.0,No,3,Mivida,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,2270000,2,2,133.0,No,2,Mountain View Hyde Park,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,5500000,3,3,204.0,No,2,Cairo Festival City,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,2236023,3,3,182.0,No,3,Al Burouj,Cash or Installment,2024,Finished,Shorouk City
Apartment,632400,3,2,174.0,No,3,El Khamayel,Cash or Installment,2024,Not Finished,Sheikh Zayed
Apartment,2500000,1,2,100.0,No,2,Badya Palm Hills,Installment,2025,Finished,6th of October
Apartment,1200000,3,2,135.0,No,7,Not in Compound,Cash,2024,Finished,Nasr City
Penthouse,2800000,2,3,146.0,No,4,Trio Gardens,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,2400000,3,3,160.0,No,2,Granda,Installment,2023,Semi Finished,Shorouk City
Penthouse,3150000,3,3,170.0,No,3,Fifth Square,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,730000,3,2,167.0,No,2,El Khamayel,Installment,2023,Not Finished,Sheikh Zayed
Apartment,2940000,3,3,165.0,No,1,EL Patio Casa,Cash or Installment,2024,Not Finished,Shorouk City
Penthouse,3850000,3,3,220.0,No,3,Fifth Square,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,2565000,2,2,135.0,No,3,Midtown,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1393600,3,2,154.0,No,2,Not in Compound,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2600000,3,2,161.0,No,2,Not in Compound,Cash,2024,Finished,Sheraton
Apartment,1600000,3,2,116.0,No,3,Madinaty,Installment,2024,Finished,Madinaty
Apartment,438000,3,3,150.0,No,2,Mountain View iCity,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1450000,2,1,92.0,No,6,Madinaty,Cash,2024,Finished,Madinaty
Duplex,6000000,3,3,312.0,No,1,Village Gardens Katameya,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,5200000,3,2,200.0,No,2,Galleria Moon Valley,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2350000,3,3,170.0,No,1,Mena Residence,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,5860000,3,3,190.0,No,3,90 Avenue,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,237000,2,1,129.0,No,2,Sarai,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,3800000,3,3,154.0,No,3,Badya Palm Hills,Cash or Installment,2025,Finished,6th of October
Apartment,2700000,2,1,133.0,No,2,Galleria Moon Valley,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Duplex,3850000,3,3,234.0,No,1,Mountain View Hyde Park,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Duplex,4200000,3,3,278.0,No,1,Mountain View Hyde Park,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Duplex,3350000,3,3,272.0,No,1,ABHA,Installment,2024,Semi Finished,6th of October
Penthouse,6670000,4,3,234.0,No,5,Moon Valley,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,5200000,3,3,188.0,No,1,Moon Valley,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Penthouse,4000000,2,2,166.0,No,3,Mountain View Hyde Park,Installment,2023,Semi Finished,New Cairo - El Tagamoa
Apartment,312000,3,2,159.0,No,2,Sarai,Cash or Installment,2025,Not Finished,Shorouk City
Apartment,2215000,3,3,180.0,No,2,Beta Greens,Cash or Installment,2024,Semi Finished,Hadayek 6th of October
Apartment,1200000,2,1,78.0,No,1,Madinaty,Installment,2024,Finished,Madinaty
Apartment,1300000,2,2,145.0,No,1,Dreamland,Cash or Installment,2024,Not Finished,6th of October
Apartment,2160000,4,3,230.0,No,1,Beit Al Watan,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,2640000,3,3,152.0,No,3,Jayd,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1650000,3,2,108.0,No,3,Rehab City,Cash,2024,Finished,Rehab City
Apartment,2200000,3,3,205.0,Yes,6,Tijan,Cash,2024,Finished,Maadi
Apartment,1980000,3,2,122.0,No,3,Kayan,Installment,2024,Semi Finished,6th of October
Apartment,2700000,3,3,165.0,No,3,Mountain View iCity,Cash,2024,Not Finished,New Cairo - El Tagamoa
Apartment,992800,3,2,146.0,No,3,Not in Compound,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1200000,3,2,130.0,No,1,Dar Misr,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,2338000,2,2,100.0,No,1,Mountain View iCity,Cash or Installment,2023,Not Finished,6th of October
Apartment,3843000,3,3,220.0,No,2,Mountain View iCity,Cash or Installment,2023,Not Finished,6th of October
Apartment,2320000,2,2,127.0,No,1,Sarai,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2115900,2,2,125.0,No,2,Maadi View,Installment,2025,Semi Finished,Shorouk City
Apartment,2310000,2,2,110.0,No,1,Mountain View iCity,Cash or Installment,2023,Not Finished,6th of October
Apartment,3493217,3,2,135.0,No,2,Mountain View iCity,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,1470000,3,3,150.0,No,2,Yaru,Cash or Installment,2024,Semi Finished,New Capital City
Apartment,3005000,2,2,125.0,No,1,Mountain View iCity,Cash or Installment,2023,Not Finished,6th of October
Apartment,1700000,3,1,100.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3689000,3,3,180.0,No,1,Mountain View iCity,Cash or Installment,2023,Not Finished,6th of October
Apartment,3800000,3,2,150.0,No,2,Al Burouj,Cash or Installment,2025,Finished,Shorouk City
